;DayOfWeek;POS Total Units Sold Promo and Regular;Encoded_REST_KEY
753;Saturday;51;Store1
754;Saturday;49;Store2
755;Saturday;62;Store3
756;Saturday;53;Store4
757;Sunday;63;Store1
758;Sunday;56;Store2
759;Sunday;68;Store3
760;Sunday;42;Store4
761;Monday;69;Store1
762;Monday;73;Store2
763;Monday;67;Store3
764;Monday;67;Store4
765;Tuesday;70;Store1
766;Tuesday;94;Store2
767;Tuesday;70;Store3
768;Tuesday;39;Store4
769;Wednesday;65;Store1
770;Wednesday;70;Store2
771;Wednesday;84;Store3
772;Wednesday;35;Store4
773;Thursday;76;Store1
774;Thursday;81;Store2
775;Thursday;68;Store3
776;Thursday;51;Store4
777;Friday;73;Store1
778;Friday;70;Store2
779;Friday;88;Store3
780;Friday;70;Store4
781;Saturday;88;Store1
782;Saturday;43;Store2
783;Saturday;43;Store3
784;Saturday;59;Store4
785;Sunday;73;Store1
786;Sunday;37;Store2
787;Sunday;37;Store3
788;Sunday;28;Store4
789;Monday;58;Store1
790;Monday;62;Store2
791;Monday;86;Store3
792;Monday;34;Store4
793;Tuesday;36;Store1
794;Tuesday;56;Store2
795;Tuesday;53;Store3
796;Tuesday;43;Store4
797;Wednesday;42;Store1
798;Wednesday;65;Store2
799;Wednesday;58;Store3
800;Wednesday;41;Store4
801;Thursday;63;Store1
802;Thursday;64;Store2
803;Thursday;64;Store3
804;Thursday;44;Store4
805;Friday;59;Store1
806;Friday;65;Store2
807;Friday;85;Store3
808;Friday;43;Store4
809;Saturday;61;Store1
810;Saturday;36;Store2
811;Saturday;48;Store3
812;Saturday;59;Store4
813;Sunday;74;Store1
814;Sunday;45;Store2
815;Sunday;52;Store3
816;Sunday;34;Store4
817;Monday;47;Store1
818;Monday;50;Store2
819;Monday;52;Store3
820;Monday;53;Store4
821;Tuesday;53;Store1
822;Tuesday;70;Store2
823;Tuesday;35;Store3
824;Tuesday;47;Store4
825;Wednesday;60;Store1
826;Wednesday;93;Store2
827;Wednesday;58;Store3
828;Wednesday;55;Store4
829;Thursday;56;Store1
830;Thursday;72;Store2
831;Thursday;61;Store3
832;Thursday;46;Store4
833;Friday;50;Store1
834;Friday;61;Store2
835;Friday;72;Store3
836;Friday;49;Store4
837;Saturday;67;Store1
838;Saturday;47;Store2
839;Saturday;53;Store3
840;Saturday;47;Store4
841;Sunday;41;Store1
842;Sunday;35;Store2
843;Sunday;52;Store3
844;Sunday;35;Store4
845;Monday;62;Store1
846;Monday;49;Store2
847;Monday;74;Store3
848;Monday;39;Store4
849;Tuesday;43;Store1
850;Tuesday;74;Store2
851;Tuesday;59;Store3
852;Tuesday;39;Store4
853;Wednesday;59;Store1
854;Wednesday;57;Store2
855;Wednesday;68;Store3
856;Wednesday;42;Store4
857;Thursday;57;Store1
858;Thursday;76;Store2
859;Thursday;48;Store3
860;Thursday;49;Store4
861;Friday;65;Store1
862;Friday;77;Store2
863;Friday;84;Store3
864;Friday;47;Store4
865;Saturday;58;Store1
866;Saturday;39;Store2
867;Saturday;55;Store3
868;Saturday;42;Store4
869;Sunday;44;Store1
870;Sunday;34;Store2
871;Sunday;58;Store3
872;Sunday;34;Store4
873;Monday;44;Store1
874;Monday;64;Store2
875;Monday;61;Store3
876;Monday;41;Store4
877;Monday;65;Store1
878;Monday;31;Store2
879;Monday;52;Store3
880;Monday;50;Store4
881;Saturday;62;Store1
882;Saturday;58;Store2
883;Saturday;52;Store3
884;Saturday;48;Store4
885;Sunday;63;Store1
886;Sunday;86;Store2
887;Sunday;82;Store3
888;Sunday;49;Store4
889;Monday;49;Store1
890;Monday;60;Store2
891;Monday;50;Store3
892;Monday;55;Store4
893;Tuesday;54;Store1
894;Tuesday;71;Store2
895;Tuesday;61;Store3
896;Tuesday;44;Store4
897;Wednesday;61;Store1
898;Wednesday;95;Store2
899;Wednesday;81;Store3
900;Wednesday;51;Store4
901;Thursday;61;Store1
902;Thursday;82;Store2
903;Thursday;89;Store3
904;Thursday;72;Store4
905;Friday;57;Store1
906;Friday;56;Store2
907;Friday;49;Store3
908;Friday;56;Store4
909;Saturday;27;Store1
910;Saturday;29;Store2
911;Saturday;39;Store3
912;Saturday;40;Store4
913;Sunday;48;Store1
914;Sunday;65;Store2
915;Sunday;53;Store3
916;Sunday;60;Store4
917;Monday;54;Store1
918;Monday;73;Store2
919;Monday;69;Store3
920;Monday;44;Store4
921;Tuesday;58;Store1
922;Tuesday;62;Store2
923;Tuesday;51;Store3
924;Tuesday;51;Store4
925;Wednesday;59;Store1
926;Wednesday;70;Store2
927;Wednesday;70;Store3
928;Wednesday;54;Store4
929;Thursday;83;Store1
930;Thursday;87;Store2
931;Thursday;81;Store3
932;Thursday;47;Store4
933;Friday;41;Store1
934;Friday;46;Store2
935;Friday;53;Store3
936;Friday;68;Store4
937;Saturday;55;Store1
938;Saturday;30;Store2
939;Saturday;34;Store3
940;Saturday;45;Store4
941;Sunday;60;Store1
942;Sunday;71;Store2
943;Sunday;51;Store3
944;Sunday;50;Store4
945;Monday;72;Store1
946;Monday;65;Store2
947;Monday;66;Store3
948;Monday;54;Store4
949;Tuesday;48;Store1
950;Tuesday;83;Store2
951;Tuesday;79;Store3
952;Tuesday;54;Store4
953;Wednesday;65;Store1
954;Wednesday;76;Store2
955;Wednesday;59;Store3
956;Wednesday;56;Store4
957;Thursday;68;Store1
958;Thursday;85;Store2
959;Thursday;90;Store3
960;Thursday;67;Store4
961;Friday;43;Store1
962;Friday;63;Store2
963;Friday;59;Store3
964;Friday;64;Store4
965;Saturday;51;Store1
966;Saturday;42;Store2
967;Saturday;60;Store4
968;Sunday;47;Store1
969;Sunday;48;Store3
970;Sunday;58;Store4
971;Monday;45;Store1
972;Monday;79;Store2
973;Monday;83;Store3
974;Monday;37;Store4
975;Tuesday;70;Store1
976;Tuesday;87;Store2
977;Tuesday;55;Store3
978;Tuesday;39;Store4
979;Wednesday;62;Store1
980;Wednesday;73;Store2
981;Wednesday;49;Store3
982;Wednesday;49;Store4
983;Thursday;82;Store1
984;Thursday;93;Store2
985;Thursday;76;Store3
986;Thursday;49;Store4
987;Friday;63;Store1
988;Friday;40;Store2
989;Friday;48;Store3
990;Friday;80;Store4
991;Saturday;59;Store1
992;Saturday;60;Store2
993;Saturday;45;Store3
994;Saturday;40;Store4
995;Sunday;48;Store1
996;Sunday;62;Store2
997;Sunday;73;Store3
998;Sunday;65;Store4
999;Saturday;33;Store1
1000;Saturday;17;Store2
1001;Saturday;22;Store3
1002;Saturday;20;Store4
